phase,RatID,session,Trial num,HH time,Latency to corr sample,Latency to corr match,Corr sample port num,Trial type,Target odor num,Target odor name,Target odor concentration,Num pokes corr sample,Time in corr sample,Inc sample port num,Num pokes inc sample,Time in inc sample,False pos inc sample,Corr match port num,Corr match odor num,Corr match odor name,Match odor concentration,Num pokes corr match,Time in corr match,Inc match 1 port num,Inc match 1 odor num,Inc match 1 odor name,Num pokes inc match 1,Time in inc match 1,False pos inc match 1,Inc match 2 port num,Inc match 2 odor num,Inc match 2 odor name,Num pokes inc match 2,Time in inc match 2,False pos inc match 2,Time in corr port after reward
1,1,3,7,4,0,0,8,normal,8,TNT+RDX,1,1,1.79,9,1,2.609,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,8,4,0,0,8,normal,8,TNT+RDX,1,0,0,9,1,0.784,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,9,4,0,0,9,normal,8,TNT+RDX,1,0,0,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,10,4,17.386,0,8,normal,8,TNT+RDX,1,1,6.797,9,1,3.936,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,11,4,14.332,0,9,normal,8,TNT+RDX,1,1,7.006,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,12,4,20.69,0,8,normal,8,TNT+RDX,1,1,7.005,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,13,4,32.718,0,8,normal,8,TNT+RDX,1,2,7.229,9,2,17.677,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,14,4,29.996,0,8,normal,8,TNT+RDX,1,2,8.253,9,1,17.502,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,3,15,4,0,0,8,normal,8,TNT+RDX,1,1,1.024,9,1,1.057,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,1,4,55.729,0,8,normal,8,TNT+RDX,1,4,11.003,9,2,2.953,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,2,4,7.217,0,9,normal,8,TNT+RDX,1,1,7.008,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,3,4,0,0,9,normal,8,TNT+RDX,1,3,4.316,8,2,9.499,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,4,4,5.104,0,9,normal,8,TNT+RDX,1,1,6.24,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,5,4,13.571,0,9,normal,8,TNT+RDX,1,1,5.983,8,3,5.259,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,6,4,9.346,0,8,normal,8,TNT+RDX,1,1,7.007,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,7,4,21.949,0,9,normal,8,TNT+RDX,1,1,6.655,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,8,4,11.157,0,8,normal,8,TNT+RDX,1,1,7.005,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,9,4,16.326,0,9,normal,8,TNT+RDX,1,1,7.004,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,10,4,51.548,0,9,normal,8,TNT+RDX,1,1,6.879,8,3,18.599,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,11,4,42.509,0,8,normal,8,TNT+RDX,1,1,7.005,9,1,13.548,1,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,12,4,46.067,0,9,normal,8,TNT+RDX,1,2,10.059,8,5,18.008,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,13,4,21.28,0,9,normal,8,TNT+RDX,1,1,7.004,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,14,4,12.95,0,8,normal,8,TNT+RDX,1,1,7.005,9,1,0.288,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,15,4,12.748,0,9,normal,8,TNT+RDX,1,1,5.839,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,16,4,10.277,0,9,normal,8,TNT+RDX,1,1,7.006,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,17,4,24.936,0,8,normal,8,TNT+RDX,1,1,7.004,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,18,4,43.988,0,8,normal,8,TNT+RDX,1,1,7.004,9,3,31.161,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,19,4,0,0,9,normal,8,TNT+RDX,1,0,0,8,6,43.143,4,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,20,4,9.602,0,9,normal,8,TNT+RDX,1,1,5.873,8,1,0.51,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,4,21,4,0,0,9,normal,8,TNT+RDX,1,0,0,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,1,4,22.799,0,8,normal,8,TNT+RDX,1,1,7.01,9,1,3.898,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,2,4,16.411,0,9,normal,8,TNT+RDX,1,1,7.007,8,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,3,4,56.866,0,9,normal,8,TNT+RDX,1,1,6.639,8,3,16.76,2,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
1,1,5,4,4,8.939,0,8,normal,8,TNT+RDX,1,1,7.004,9,0,0,0,0,0,none,1,0,0,0,0,none,0,0,0,0,0,none,0,0,0,NA
